variant,isin,base,nrd_z,our_z,delta,duration,margin_bps,rating,z_minus_g
V1e  spline conv spot_end,RU000A10BQD6,KEYRATE,462,282,-180,0.082192,190,AA(RU),4
V1e  spline conv spot_end,RU000A10BK09,KEYRATE,346,218,-128,0.082192,200,AAA(RU),0
V1e  spline conv spot_end,RU000A107UW1,KEYRATE,421,236,-185,0.084932,130,AAA(RU),-1
V1e  spline conv spot_end,RU000A106565,KEYRATE,410,243,-167,0.249315,130,AAA(RU),3
V1e  spline conv spot_end,RU000A108GN7,KEYRATE,1108,833,-275,0.249315,220,AA-(RU),6
V1e  spline conv spot_end,RU000A108QA3,KEYRATE,323,192,-131,0.249315,110,AAA(RU),0
V1e  spline conv spot_end,RU000A108LU2,KEYRATE,418,35,-383,0.249315,110,AAA(RU),273
V2   spfi spot_start,RU000A108777,KEYRATE,1147,531,-616,0.079452,229,AA-(RU),-5
V2   spfi spot_start,RU000A10B4D8,KEYRATE,507,185,-322,0.082192,190,AA(RU),0
V2   spfi spot_start,RU000A10BF48,KEYRATE,376,71,-305,0.082192,170,AAA(RU),0
V2   spfi spot_start,RU000A109K40,KEYRATE,330,110,-220,0.084932,110,AAA(RU),0
V2   spfi spot_start,RU000A1079S6,KEYRATE,517,191,-326,0.249315,120,AA(RU),1
V2   spfi spot_start,RU000A10BQD6,KEYRATE,462,113,-349,0.082192,190,AA(RU),4
V2   spfi spot_start,RU000A10BK09,KEYRATE,346,80,-266,0.082192,200,AAA(RU),0
V2   spfi spot_start,RU000A107UW1,KEYRATE,421,113,-308,0.084932,130,AAA(RU),-1
V2   spfi spot_start,RU000A106565,KEYRATE,410,86,-324,0.249315,130,AAA(RU),3
V2   spfi spot_start,RU000A108GN7,KEYRATE,1108,655,-453,0.249315,220,AA-(RU),6
V2   spfi spot_start,RU000A108QA3,KEYRATE,323,81,-242,0.249315,110,AAA(RU),0
V2   spfi spot_start,RU000A108LU2,KEYRATE,418,-130,-548,0.249315,110,AAA(RU),273
V3f  nrdspl conv fwd,RU000A108777,KEYRATE,1147,691,-456,0.079452,229,AA-(RU),-5
V3f  nrdspl conv fwd,RU000A10B4D8,KEYRATE,507,334,-173,0.082192,190,AA(RU),0
V3f  nrdspl conv fwd,RU000A10BF48,KEYRATE,376,229,-147,0.082192,170,AAA(RU),0
V3f  nrdspl conv fwd,RU000A109K40,KEYRATE,330,194,-136,0.084932,110,AAA(RU),0
V3f  nrdspl conv fwd,RU000A1079S6,KEYRATE,517,355,-162,0.249315,120,AA(RU),1
V3f  nrdspl conv fwd,RU000A10BQD6,KEYRATE,462,279,-183,0.082192,190,AA(RU),4
V3f  nrdspl conv fwd,RU000A10BK09,KEYRATE,346,236,-110,0.082192,200,AAA(RU),0
V3f  nrdspl conv fwd,RU000A107UW1,KEYRATE,421,252,-169,0.084932,130,AAA(RU),-1
V3f  nrdspl conv fwd,RU000A106565,KEYRATE,410,240,-170,0.249315,130,AAA(RU),3
V3f  nrdspl conv fwd,RU000A108GN7,KEYRATE,1108,826,-282,0.249315,220,AA-(RU),6
V3f  nrdspl conv fwd,RU000A108QA3,KEYRATE,323,199,-124,0.249315,110,AAA(RU),0
V3f  nrdspl conv fwd,RU000A108LU2,KEYRATE,418,34,-384,0.249315,110,AAA(RU),273
V7   ytm−G spline conv fwd,RU000A108777,KEYRATE,1147,892,-255,0.079452,229,AA-(RU),-5
V7   ytm−G spline conv fwd,RU000A10B4D8,KEYRATE,507,464,-43,0.082192,190,AA(RU),0
V7   ytm−G spline conv fwd,RU000A10BF48,KEYRATE,376,339,-37,0.082192,170,AAA(RU),0
V7   ytm−G spline conv fwd,RU000A109K40,KEYRATE,330,321,-9,0.084932,110,AAA(RU),0
V7   ytm−G spline conv fwd,RU000A1079S6,KEYRATE,517,510,-7,0.249315,120,AA(RU),1
V7   ytm−G spline conv fwd,RU000A10BQD6,KEYRATE,462,443,-19,0.082192,190,AA(RU),4
V7   ytm−G spline conv fwd,RU000A10BK09,KEYRATE,346,348,2,0.082192,200,AAA(RU),0
V7   ytm−G spline conv fwd,RU000A107UW1,KEYRATE,421,369,-52,0.084932,130,AAA(RU),-1
V7   ytm−G spline conv fwd,RU000A106565,KEYRATE,410,393,-17,0.249315,130,AAA(RU),3
V7   ytm−G spline conv fwd,RU000A108GN7,KEYRATE,1108,1121,13,0.249315,220,AA-(RU),6
V7   ytm−G spline conv fwd,RU000A108QA3,KEYRATE,323,311,-12,0.249315,110,AAA(RU),0
V7   ytm−G spline conv fwd,RU000A108LU2,KEYRATE,418,369,-49,0.249315,110,AAA(RU),273
V7s  ytm−G spline conv spot,RU000A108777,KEYRATE,1147,864,-283,0.079452,229,AA-(RU),-5
V7s  ytm−G spline conv spot,RU000A10B4D8,KEYRATE,507,438,-69,0.082192,190,AA(RU),0
V7s  ytm−G spline conv spot,RU000A10BF48,KEYRATE,376,312,-64,0.082192,170,AAA(RU),0
V7s  ytm−G spline conv spot,RU000A109K40,KEYRATE,330,321,-9,0.084932,110,AAA(RU),0
V7s  ytm−G spline conv spot,RU000A1079S6,KEYRATE,517,501,-16,0.249315,120,AA(RU),1
V7s  ytm−G spline conv spot,RU000A10BQD6,KEYRATE,462,446,-16,0.082192,190,AA(RU),4
V7s  ytm−G spline conv spot,RU000A10BK09,KEYRATE,346,322,-24,0.082192,200,AAA(RU),0
V7s  ytm−G spline conv spot,RU000A107UW1,KEYRATE,421,346,-75,0.084932,130,AAA(RU),-1
V7s  ytm−G spline conv spot,RU000A106565,KEYRATE,410,393,-17,0.249315,130,AAA(RU),3
V7s  ytm−G spline conv spot,RU000A108GN7,KEYRATE,1108,1127,19,0.249315,220,AA-(RU),6
V7s  ytm−G spline conv spot,RU000A108QA3,KEYRATE,323,295,-28,0.249315,110,AAA(RU),0
V7s  ytm−G spline conv spot,RU000A108LU2,KEYRATE,418,368,-50,0.249315,110,AAA(RU),273
V7n  ytm−G spline raw  fwd,RU000A108777,KEYRATE,1147,787,-360,0.079452,229,AA-(RU),-5
V7n  ytm−G spline raw  fwd,RU000A10B4D8,KEYRATE,507,364,-143,0.082192,190,AA(RU),0
V7n  ytm−G spline raw  fwd,RU000A10BF48,KEYRATE,376,241,-135,0.082192,170,AAA(RU),0
V7n  ytm−G spline raw  fwd,RU000A109K40,KEYRATE,330,244,-86,0.084932,110,AAA(RU),0
V7n  ytm−G spline raw  fwd,RU000A1079S6,KEYRATE,517,412,-105,0.249315,120,AA(RU),1
V7n  ytm−G spline raw  fwd,RU000A10BQD6,KEYRATE,462,351,-111,0.082192,190,AA(RU),4
V7n  ytm−G spline raw  fwd,RU000A10BK09,KEYRATE,346,255,-91,0.082192,200,AAA(RU),0
V7n  ytm−G spline raw  fwd,RU000A107UW1,KEYRATE,421,271,-150,0.084932,130,AAA(RU),-1
V7n  ytm−G spline raw  fwd,RU000A106565,KEYRATE,410,306,-104,0.249315,130,AAA(RU),3
V7n  ytm−G spline raw  fwd,RU000A108GN7,KEYRATE,1108,1016,-92,0.249315,220,AA-(RU),6
V7n  ytm−G spline raw  fwd,RU000A108QA3,KEYRATE,323,216,-107,0.249315,110,AAA(RU),0
V7n  ytm−G spline raw  fwd,RU000A108LU2,KEYRATE,418,279,-139,0.249315,110,AAA(RU),273
V7d  ytm−G G(nrd_dur),RU000A108777,KEYRATE,1147,892,-255,0.079452,229,AA-(RU),-5
V7d  ytm−G G(nrd_dur),RU000A10B4D8,KEYRATE,507,464,-43,0.082192,190,AA(RU),0
V7d  ytm−G G(nrd_dur),RU000A10BF48,KEYRATE,376,339,-37,0.082192,170,AAA(RU),0
V7d  ytm−G G(nrd_dur),RU000A109K40,KEYRATE,330,321,-9,0.084932,110,AAA(RU),0
V7d  ytm−G G(nrd_dur),RU000A1079S6,KEYRATE,517,510,-7,0.249315,120,AA(RU),1
V7d  ytm−G G(nrd_dur),RU000A10BQD6,KEYRATE,462,443,-19,0.082192,190,AA(RU),4
V7d  ytm−G G(nrd_dur),RU000A10BK09,KEYRATE,346,348,2,0.082192,200,AAA(RU),0
V7d  ytm−G G(nrd_dur),RU000A107UW1,KEYRATE,421,369,-52,0.084932,130,AAA(RU),-1
V7d  ytm−G G(nrd_dur),RU000A106565,KEYRATE,410,393,-17,0.249315,130,AAA(RU),3
V7d  ytm−G G(nrd_dur),RU000A108GN7,KEYRATE,1108,1121,13,0.249315,220,AA-(RU),6
V7d  ytm−G G(nrd_dur),RU000A108QA3,KEYRATE,323,311,-12,0.249315,110,AAA(RU),0
V7d  ytm−G G(nrd_dur),RU000A108LU2,KEYRATE,418,369,-49,0.249315,110,AAA(RU),273
V7r  ytm−G RUONIA (контроль),RU000A107X96,RUONIA,164,429,265,0.249315,140,AAA(RU),35
V7r  ytm−G RUONIA (контроль),RU000A107456,RUONIA,433,425,-8,0.249315,220,A(RU),0
V7r  ytm−G RUONIA (контроль),RU000A107084,RUONIA,193,396,203,0.249315,125,AAA(RU),3
V7r  ytm−G RUONIA (контроль),RU000A107050,RUONIA,184,400,216,0.249315,125,AAA(RU),3
V7r  ytm−G RUONIA (контроль),RU000A1083U4,RUONIA,253,393,140,0.249315,140,AAA(RU),0
